smiles,sa_score,sim_source,sim_target,comp_score,path_id
CC=CC1=C(O)C(C)=CC(C(C)=O)=C1,3.6715,18.67,11.54,20.50,3455
CC(=O)C1=CC(C=CN)=C(O)C(C)=C1,3.9209,16.88,11.43,19.48,3456
C=CC1=C(O)C(C)=CC(C(C)=O)=C1C,3.5917,14.10,13.73,20.42,3460
CCNC=C(O)C1=C(O)C(C)=CC=C1,3.7787,17.95,12.26,20.86,913
CCNC=CC1=C(O)C(C)=CC(C)=C1,3.7605,18.67,10.48,19.43,3575
CCNC(C)=CC1=C(O)C(C)=CC=C1,3.5359,17.95,13.33,21.95,3576
CCCNC=CC1=C(O)C(C)=CC=C1,3.6445,16.46,11.21,19.08,3578
C=CCNC=CC1=C(O)C(C)=CC=C1,3.9696,14.81,11.11,18.12,3579
CCNC=CC1=C(O)C(C)=C(O)C=C1,3.9938,13.92,10.38,16.94,3580
CCNC=CC1=C(O)C(C)=CC=C1C,3.8537,17.57,11.76,20.16,3581
CC1=C2C(=O)C(C)OC2=C(C)C(O)=C1,4.1809,12.82,12.75,18.74,589
CC1=C2OC(C)(O)C(=O)C2=CC=C1O,4.3401,15.58,14.85,22.21,3582
COCCC1=CC(CO)=C(O)C(C)=C1,3.4328,15.38,10.38,17.73,1104
C=CC1=C(O)C(C)=CC(CCOC)=C1,3.6065,16.46,12.26,20.13,3619
C=COCCC1=CC(C)=C(O)C(C)=C1,3.6767,15.19,11.32,18.55,3620
COC(C)CC1=CC(C)=C(O)C(C)=C1,3.9273,17.11,11.54,19.70,3621
COC1CC2=CC(C)=C(O)C(C)=C2O1,4.1998,13.75,15.69,22.14,3622
COCCC1=C(C)C(C)=C(O)C(C)=C1,3.3379,16.00,10.68,18.35,3623
CC1=C2C(=O)C(O)OC2=C(C)C(O)=C1,4.3667,12.82,12.75,18.72,588
CC1=C(O)C(C)=C2OC(C)CC2=C1C,3.9215,10.39,13.13,17.93,662
CCOC1=C(C)C(O)=C(CO)C(C)=C1,3.4345,20.27,9.43,19.23,3702
C=CC1=C(O)C(C)=C(OCC)C=C1C,3.5675,19.74,11.32,20.83,3703
C=CC1=CC(OCC)=C(C)C(O)=C1C,3.5702,18.42,10.38,19.23,3704
CC1=CC(OC(C)O)=C(C)C(O)=C1C,3.9985,14.67,9.71,16.64,3705
CCOC1=C(C)C(O)=C(C)C(CO)=C1,3.3801,18.92,8.49,17.61,3706
CC1=CC(C(O)=C(C)N)=C(O)C(C)=C1,3.5024,19.44,9.71,19.08,708
CCC(N)=C(O)C1=C(O)C(C)=CC=C1,3.7091,18.42,10.38,19.22,3802
CNC(C)=C(O)C1=C(O)C(C)=CC=C1,3.6828,17.33,11.65,19.95,3803
CC(N)=C(O)C1=C(O)C(C)=C(O)C=C1,3.7418,13.16,8.65,14.86,3804
CC1=CC=C2C=CC(N)=C(O)C2=C1O,3.8185,11.69,9.71,15.17,3805
CC(=O)C1=C(C)C(CO)=C(O)C(C)=C1,3.4550,15.79,11.65,19.20,3837
CC1=C2OC(C)CC2=CC(CO)=C1O,4.2445,12.20,12.26,17.94,144
C=CC1=C(O)C(C)=C2OC(C)CC2=C1,4.4182,12.05,13.21,18.79,3915
CC1=C(O)C(C)=C2OC(C)(O)CC2=C1,4.3808,14.10,14.85,21.46,3916
CC1=C2OC(O)CC2=CC(CO)=C1O,4.4742,12.20,12.26,17.91,1149
C=CC1=C(O)C(C)=C2OC(O)CC2=C1,4.6479,12.05,13.21,18.77,4035
CC1=C(O)C(C)=C2OC(O)CC2=C1C,4.1574,10.39,13.13,17.91,4038
CCC(N)=CC1=C(O)C(C)=CC(C)=C1,3.6729,17.11,10.48,18.66,4184
CCC(=CC1=C(O)C(C)=CC=C1)NC,3.7384,18.18,11.32,20.04,4185
CC1=CC=CC(C=C(N)CC=N)=C1O,4.2509,13.41,11.11,17.39,4186
CCC(N)=CC1=C(O)C(C)=C(O)C=C1,3.9124,11.25,9.43,14.67,4187
CC1=CC2=CC=C(C)C(O)=C2C=C1N,3.8807,13.16,8.65,14.84,4188
CCC=C(O)C1=C(O)C(C)=CC(C)=C1,3.5729,18.92,9.52,18.63,121
CC1=CC=CC(C(O)=CCC=N)=C1O,4.2114,15.19,11.32,18.49,4200
CCC=C(O)C1=C(O)C(C)=C(O)C=C1,3.8059,12.82,8.49,14.52,4201
CC1=CC2=CC=C(C)C(O)=C2C(O)=C1,3.6162,18.06,12.00,20.67,4202
C=CC1=C(C(C)=O)C=C(C)C(O)=C1C,3.5917,14.10,13.73,20.42,4216
CC(=O)C1=C(CO)C(C)=C(O)C(C)=C1,3.4550,15.79,11.65,19.20,4220
C=CC1=C(O)C(C)=C2OCCC2=C1C,3.7141,8.54,11.54,15.44,827
C=C(O)C1=C(O)C(C)=C(OC)C=C1C,3.5470,15.79,10.58,18.12,4455
COC1=C(C)C(O)=C2C=CC=CC2=C1,3.5462,12.82,10.58,16.63,4456
COC1=C(C)C(O)=C(C=CN)C(C)=C1,3.8965,13.92,12.50,19.07,4457
C=CC1=C(O)C(C)=C(OCO)C=C1C,3.8418,15.38,11.43,18.74,4458
C=CC1=C(O)C(C)=C(OC)C=C1CO,3.7180,13.58,12.26,18.68,4460
CNC(C)=CC1=C(O)C(C)=CC(C)=C1,3.6304,15.79,10.58,18.11,4635
CNC(C)=CC1=C(O)C(C)=C(O)C=C1,3.8699,10.00,9.52,14.14,4639
CNC1=CC2=C(O)C(C)=CC=C2C=C1,3.6650,14.29,9.52,16.30,4640
C=CC1=C(C=O)C=C(C)C(O)=C1CO,3.8669,13.58,11.21,17.62,731
CC1=CC(C=O)=C2C=CC=CC2=C1O,3.6302,12.99,12.87,19.00,4653
CC=CC1=C(C=O)C=C(C)C(O)=C1C,3.7743,12.66,12.62,18.57,4654
C=CC1=C(C=O)C(O)=C(C)C(O)=C1C,3.7132,9.09,11.00,15.17,4656
C=C(O)C1=C(C=O)C=C(C)C(O)=C1C,3.7682,14.10,11.54,18.21,4657
CC1=CC(C)=C2C=CC=C(O)C2=C1O,3.5102,14.67,11.88,18.86,917
CC1=CC(C)=C2C=CC(N)=CC2=C1O,3.6280,13.16,9.71,15.92,4804
CC1=CC2=C(C)C=C(C)C(O)=C2C=C1,3.4358,15.07,11.00,18.19,4805
CCC1=C2C=CC=CC2=C(O)C(C)=C1,3.5149,16.22,10.78,18.54,4806
CC1=C(O)C(C)=C2C=CC=CC2=C1O,3.3995,9.59,10.31,14.76,4807
CC1=CC(C)=C2C(O)=CC=CC2=C1O,3.5530,14.67,11.88,18.86,4808
CNC=C(O)C1=C(O)C(C)=CC(C)=C1,3.7527,17.33,9.52,17.82,899
CNC=C(O)C1=C(O)C(C)=C(O)C=C1,3.9857,11.39,8.49,13.79,5046
CNC=C(O)C1=C(O)C(C)=CC=C1C,3.8328,14.67,10.78,17.73,5047
C=C(O)C1=C(O)C(C)=CC(C=O)=C1C,3.7682,14.10,11.54,18.21,730
CC1=CC(C=O)=C(C)C(C=CN)=C1O,4.0237,12.50,12.50,18.35,5064
C=CC1=C(O)C(C)=C(O)C(C=O)=C1C,3.7468,9.09,11.00,15.17,5066
C=CC1=C(O)C(C)=CC(C=O)=C1CO,3.8669,13.58,11.21,17.62,5067
C=C(O)C1=C(C=O)C(O)=C(C)C(O)=C1,3.9324,14.10,11.54,18.20,623
CC1=C2OCC(=O)C2=C(CO)C=C1O,3.8102,15.00,11.21,18.33,5213
CC1=C(O)C(C)=C(O)C(C=O)=C1CO,3.5766,10.39,10.89,15.73,5214
C=COC1CC2=CC=C(O)C(C)=C2O1,4.5503,11.90,12.04,17.53,5273
COC1(C)CC2=CC=C(O)C(C)=C2O1,4.3544,12.35,14.56,20.30,5274
COC1CC2=C(C)C=C(O)C(C)=C2O1,4.2429,13.75,13.46,19.91,5275
C=CC1=C2C(=O)COC2=C(C)C(O)=C1,3.9839,14.81,13.21,20.22,100
CC1=CC(CC(C)O)=CC(CO)=C1O,4.0281,14.10,9.43,16.08,1229
C=CC1=C(O)C(C)=CC(CC(C)O)=C1,4.2065,15.38,11.43,18.70,5486
CC1=CC(CC(C)O)=C(C)C(C)=C1O,3.8859,14.67,9.71,16.65,5489
CC1=C(O)C(C=O)=C(C)C(CO)=C1O,3.6102,10.39,10.89,15.72,5537
CC1=CC(C=O)=C(CO)C(CO)=C1O,3.7339,14.47,10.68,17.54,5538
CC1=C2CCOC2=C(C)C(O)=C1CO,3.5846,10.00,10.58,15.22,826
C=CC1=CC(OC)=C(C)C(O)=C1CO,3.7751,13.58,10.19,16.60,5776
CC1=CC(OCO)=C(C)C(O)=C1CO,3.7088,16.00,9.62,17.24,5777
COC1=C(C)C(O)=C(CO)C(CO)=C1,3.5850,14.29,9.52,16.31,5779
CC=CC1=C(C)C=C(C)C(O)=C1CO,3.6614,14.10,10.48,17.16,936
CC1=CC(C)=C(C=CC=N)C(C)=C1O,3.9603,12.82,11.65,17.66,5927
CC=CC1=C(CC)C=C(C)C(O)=C1C,3.6528,15.58,10.48,17.90,5928
CC=CC1=C(C)C(O)=C(C)C(O)=C1C,3.5012,8.11,9.18,12.89,5929
CC=C(O)C1=C(C)C=C(C)C(O)=C1C,3.6510,14.86,10.89,17.96,5930
C=CC1=C(C(=O)CC)C=C(C)C(O)=C1,3.8383,16.67,9.26,17.21,614
CC1=CC(C(=O)C(C)O)=C(C)C=C1O,4.0503,16.00,9.62,17.21,6045
CCC(=O)C1=C(CO)C=C(O)C(C)=C1,3.6599,15.58,8.41,15.84,6047
C=C(O)C1=C(O)C(C)=C(OCC)C=C1,3.5434,18.42,8.33,17.19,6129
CC=CC1=C(O)C(C)=C(OCC)C=C1,3.5147,18.18,9.26,18.00,6130
CCOC1=C(C)C(O)=C(C=CN)C=C1,3.7575,16.46,9.17,17.03,6131
C=CC1=C(O)C(C)=C(OC(C)O)C=C1,4.3361,12.50,9.35,15.16,6132
CNC=CC1=C(O)C(C)=CC(C)=C1C,3.8655,16.00,11.76,19.38,6179
CNC=CC1=C(O)C(C)=C(O)C=C1C,4.0231,14.47,10.68,17.51,6183
CNC=CC1=C(O)C(C)=CC=C1CO,3.9714,15.38,11.43,18.72,6184
C=CC1=C(CC)C=C(C)C(O)=C1CO,3.7454,15.19,9.26,16.48,937
C=CC1=C(CCO)C=C(C)C(O)=C1C,3.7053,12.50,10.38,16.26,6212
C=CC1=C(CCC)C=C(C)C(O)=C1C,3.5464,13.92,10.38,16.98,6213
C=CC1=C2CCOC2=C(C)C(O)=C1C,3.7141,8.54,11.54,15.44,6214
C=C(O)C1=C(CC)C=C(C)C(O)=C1C,3.6433,15.79,8.49,16.02,6215
CCC1=CC(C=C(C)N)=C(O)C(C)=C1,3.7227,14.10,10.48,17.16,6419
CC=CC1=C(O)C(C)=CC(CCO)=C1,3.6461,13.92,10.38,16.97,6420
CC=CC1=C(O)C(C)=CC(CCC)=C1,3.5278,15.38,10.38,17.72,6421
CC=CC1=C(O)C(C)=C2OCCC2=C1,3.7984,12.20,11.21,16.93,6422
CC=C(O)C1=C(O)C(C)=CC(CC)=C1,3.7522,15.79,9.52,17.04,6423
CCC=CC1=C(O)C(C)=CC(CC)=C1,3.6353,14.10,10.48,17.16,6424
CC1=CC(C)=C(C)C(C(O)=CN)=C1O,3.7893,14.47,10.68,17.54,918
CCC1=C(C)C(C=CN)=C(O)C(C)=C1,3.9022,13.92,10.38,16.95,6492
CC1=C(C)C(C=CN)=C(O)C(C)=C1O,3.7576,7.89,9.00,12.57,6493
CC1=CC(C)=C(CO)C(C=CN)=C1O,3.8520,13.92,10.38,16.95,6494
CCC=CC1=C(O)C(C)=CC(C=O)=C1,3.8479,15.38,10.38,17.68,6609
CC1=CC(C=CCC=N)=C(O)C(C)=C1,4.1055,15.58,9.43,16.82,6611
CCC=CC1=C(O)C(C)=C(O)C(C)=C1,3.6082,14.47,9.62,16.49,6613
CC1=CC=CC(C=CCC=NN)=C1O,4.2077,13.41,12.15,18.44,6641
CC1=C(O)C=CC(C=CCC=N)=C1O,4.3387,9.88,8.41,12.92,6642
CC1=CC=C2C=C(C=N)C=CC2=C1O,4.1707,12.66,9.43,15.35,6643
C=C(O)C1=C(O)C(C)=CC(CCC)=C1,3.5635,15.58,8.41,15.85,1109
CCCC1=CC(C=CN)=C(O)C(C)=C1,3.7706,13.75,10.28,16.78,6646
C=CC1=C(O)C(C)=CC(CCC)=C1C,3.5464,13.92,10.38,16.98,6649
CC=CC1=CC(OC)=C(C)C(O)=C1C,3.6216,12.82,11.65,17.70,6706
C=CC1=CC(OCO)=C(C)C(O)=C1C,3.8445,14.10,10.48,17.14,6707
C=C(O)C1=CC(OC)=C(C)C(O)=C1C,3.6460,14.47,9.62,16.49,6709
COCOC1=C(C)C(O)=C(C)C(C)=C1,3.4371,16.00,10.68,18.34,6887
CC1=C(OCO)C=C(CO)C(C)=C1O,3.6545,14.67,8.65,15.62,6889
CC=C(O)C1=C(O)C(C)=CC(C=O)=C1,3.9706,14.47,10.68,17.52,33
CC=C(O)C1=C(O)C(C)=C(O)C(C)=C1,3.7612,13.51,9.90,16.28,7007
C=COC(C)CC1=CC=C(O)C(C)=C1,4.3649,14.81,10.09,17.06,7079
COC(C)CC1=C(C)C=C(O)C(C)=C1,4.0902,15.58,9.43,16.82,7081
CC1=CC(C)=C(C(O)=C(C)C)C=C1O,3.7388,16.67,8.82,16.78,1294
CC1=CC=C(C(O)=C(C)CN)C=C1O,3.9328,17.11,9.43,17.59,7091
CC1=CC=C(C(O)=C(C)C=N)C=C1O,4.2381,15.58,10.48,17.84,7092
CC(C)=C(O)C1=CC(O)=C(C)C(O)=C1,3.8400,13.51,7.77,14.14,7093
CC1=CC=C2C(O)=C(C)C=CC2=C1O,3.7069,16.67,9.90,17.86,7094
CC1=C(O)C=C2C=CC=C(O)C2=C1O,3.7023,11.69,13.00,18.47,7125
CC1=CC=C2C(O)=CC=C(O)C2=C1O,3.7695,15.71,11.34,18.82,7126
CC(N)=CC1=C(O)C(C)=CC(C=O)=C1,3.9412,12.66,11.54,17.47,7223
CC(N)=CC1=C(O)C(C)=C(O)C(C)=C1,3.6974,11.69,10.78,16.26,7227
CC1=CC2=CC(O)=C(C)C(O)=C2C=C1,3.6369,13.33,8.74,15.04,7286
CC=CC1=C(C=O)C(O)=C(C)C(O)=C1,3.8858,12.66,11.54,17.48,1
CC=C(O)C1=CC=C(C)C(O)=C1CO,3.7934,14.47,9.62,16.47,1275
CC1=CC=C(C(O)=CC=N)C(C)=C1O,4.1142,12.82,11.65,17.65,7480
CC=C(O)C1=CC(O)=C(C)C(O)=C1C,3.7879,12.16,8.91,14.61,7481
COCOC1=C(C)C(O)=C(CO)C=C1,3.5223,12.50,9.35,15.24,7538
C=CC1=C(O)C(C)=C(OCOC)C=C1,3.7158,13.58,10.19,16.60,7539
C=COCOC1=C(C)C(O)=C(C)C=C1,3.8466,13.75,10.28,16.77,7540
COC(C)OC1=C(C)C(O)=C(C)C=C1,3.9570,12.99,11.76,17.86,7541
CC=CC1=C(O)C(C)=C(O)C(C=O)=C1,3.8754,12.82,10.58,16.60,7566
CC1=CC(C=O)=CC(C(O)=CN)=C1O,4.1052,14.10,10.48,17.12,7613
C=C(O)C1=C(O)C(C)=C(O)C(C=O)=C1,3.9217,12.82,10.58,16.60,7615
CC1=C2CC(C)(O)OC2=C(C)C(O)=C1,4.3811,11.39,12.75,18.00,7694
CC1=CC=C(CO)C(C(O)=CN)=C1O,3.9001,13.92,9.35,15.92,1707
CC1=CC=C2C(O)=CC(N)=CC2=C1O,3.8432,16.00,8.57,16.19,7742
CC1=C(O)C=C(CO)C(C=CN)=C1O,4.0467,11.11,11.43,16.58,7744
C=CC1=C(C(=O)CO)C=C(C)C(O)=C1,3.9494,15.19,9.26,16.46,698
CC1=CC(C(=O)CO)=C(CO)C=C1O,3.7710,14.29,8.49,15.26,7784
CCC1=CC(C(O)=CN)=C(O)C(C)=C1,3.8867,15.38,9.35,16.65,7858
CC1=CC(C(O)=CN)=C(O)C(C)=C1O,3.8995,13.16,9.71,15.90,7859
CNC=CC1=C(O)C(C)=CC(C=O)=C1,4.1559,14.29,10.58,17.30,7931
CCC1=CC(C=CNC)=C(O)C(C)=C1,3.9432,15.38,10.38,17.68,7935
CNC=CC1=C(O)C(C)=C(O)C(C)=C1,3.9244,13.16,9.71,15.90,7936
CC(C)=CC1=C(C=O)C=C(C)C(O)=C1,3.8674,11.54,11.76,17.15,421
CC(=CC1=C(C)C=C(C)C(O)=C1)CN,3.8802,14.10,9.43,16.10,7966
CC(C=N)=CC1=C(C)C=C(C)C(O)=C1,4.2012,12.82,9.52,15.51,7967
CCC1=C(C=C(C)C)C=C(O)C(C)=C1,3.7459,12.82,9.52,15.56,7968
CC(C)=CC1=C(C)C(O)=C(C)C(O)=C1,3.5968,10.53,11.00,15.90,7969
CC1=CC(O)=C(C)C(O)=C1C(O)=CN,3.8609,12.99,9.62,15.72,8028
C=C(O)C1=C(O)C(C)=CC(C)=C1CO,3.5916,15.79,8.49,16.03,921
C=CC1=C(O)C(C)=CC(CC)=C1CO,3.7454,13.75,9.26,15.76,8089
C=CC1=C(O)C(C)=C(O)C(C)=C1CO,3.6299,8.97,8.74,12.86,8090
C=CC1=C(O)C(C)=CC(CCO)=C1C,3.7053,12.50,10.38,16.26,8237
C=C(O)C1=C(O)C(C)=CC(CC)=C1C,3.6433,15.79,8.49,16.02,8240
C=CC1=C(C)C(O)=C(C)C(O)=C1CO,3.6299,8.97,8.74,12.86,8449
C=C(O)C1=C(C)C=C(C)C(O)=C1CO,3.6521,15.79,8.49,16.02,8450
CC=CC1=C(C(C)=O)C=C(C)C(O)=C1,3.7675,14.10,10.48,17.15,101
C=C(O)C1=C(C(C)=O)C=C(C)C(O)=C1,3.8108,16.00,9.62,17.23,8600
CC1=CC(C)=C(C(O)=CC=N)C=C1O,4.2542,14.29,9.52,16.24,1550
CC1=CC=C(C(O)=CC=NN)C=C1O,4.2933,13.75,11.32,17.77,8717
CC1=C(O)C=C(C(O)=CC=N)C=C1O,4.3526,11.39,8.49,13.75,8718
C=CC1=CC(OCOC)=C(C)C(O)=C1,3.8280,12.20,9.17,14.89,8732
C=COCOC1=C(C)C(O)=CC(C)=C1,3.9006,15.19,9.26,16.46,8733
COC(C)OC1=C(C)C(O)=CC(C)=C1,3.9572,14.47,10.68,17.52,8734
COCOC1=C(C)C(O)=CC(CO)=C1,3.7094,12.50,9.35,15.22,8735
C=CC1=C(CCOC)C=C(C)C(O)=C1,3.8120,15.00,9.17,16.29,8757
C=COCCC1=C(C)C=C(O)C(C)=C1,3.8822,13.92,9.35,15.92,8758
COCCC1=C(CO)C=C(O)C(C)=C1,3.6383,14.10,8.41,15.10,8761
C=C(O)C1=C(O)C(C)=CC(CCO)=C1,3.6850,14.10,8.41,15.09,1108
CC1=CC(CCO)=CC(C=CN)=C1O,3.8890,12.35,10.28,16.06,8789
CC1=C2OCCC2=CC(C=CN)=C1O,4.0350,10.71,11.11,16.06,8862
CC1=CC=C(C=CC=N)C(CO)=C1O,4.1432,12.35,9.26,15.02,1273
CC1=CC=C(C=CC=NN)C(C)=C1O,4.0541,11.11,12.50,17.65,8929
CC1=C(O)C=C(C=CC=N)C(C)=C1O,4.1314,10.13,9.62,14.27,8930
C=C(O)C1=C(O)C(C)=C2OCCC2=C1,3.8403,12.35,10.28,16.07,1110
C=C(O)C1=C(O)C(C)=C(O)C(C)=C1C,3.4406,9.59,7.00,11.45,9195
C=C(O)C1=C(C)C(O)=C(C)C(O)=C1C,3.4871,9.72,7.07,11.58,9211
C=COC(C)OC1=C(C)C(O)=CC=C1,4.2543,10.71,10.09,15.02,9592
C=CC1=C2CC(C)OC2=C(C)C(O)=C1,4.4404,10.71,11.11,16.02,9601
CC1=C2OC(C)CC2=C(CO)C=C1O,4.2667,10.84,10.19,15.18,9603
C=CC1=C2CC(O)OC2=C(C)C(O)=C1,4.6702,10.71,11.11,16.00,9721
CC1=C2OC(O)CC2=C(CO)C=C1O,4.4964,10.84,10.19,15.16,9724
CC1=C(O)C=C2C(O)=CC=CC2=C1O,3.7459,12.99,9.62,15.73,9874
CC1=CC(C)=C(C(O)=CCN)C=C1O,3.9397,15.58,8.41,15.81,1545
CNCC=C(O)C1=CC=C(C)C(O)=C1,3.9749,16.67,9.26,17.20,9972
CC1=C(O)C=C(C(O)=CCN)C=C1O,4.0382,12.66,7.41,13.33,9973
CC1=C(OC(C)O)C=CC(CO)=C1O,4.1373,12.50,8.33,14.17,9988
C=C(O)C1=CC(OCC)=C(C)C(O)=C1,3.6889,20.00,7.34,16.97,10017
CC1=C(OC(C)O)C=C(CO)C=C1O,4.2743,12.50,8.33,14.16,10018
CC1=C(O)C(C=O)=CC(C=CN)=C1O,4.1248,11.25,10.48,15.69,10108
CC=COCCC1=CC=C(O)C(C)=C1,3.9055,13.58,10.19,16.58,10227
CC1=C(O)C(C)=C2OCCC2=C1CO,3.5846,10.00,9.52,14.17,831
C=C(O)C1=C(O)C(C)=C(O)C=C1CO,3.7467,14.29,8.49,15.26,1612
CNCC(C)=CC1=CC=C(C)C(O)=C1,3.8281,15.19,10.28,17.49,10572
CC1=CC=C(C=C(C=N)CN)C=C1O,4.4141,12.20,9.17,14.83,10573
CC(=CC1=CC(O)=C(C)C(O)=C1)CN,3.9550,9.88,8.41,12.95,10574
CC=CC1=CC(OCC)=C(C)C(O)=C1,3.6095,16.67,8.26,16.23,10587
C=CC1=CC(OC(C)O)=C(C)C(O)=C1,4.3961,11.11,8.33,13.45,10589
CCC1=C(CO)C(CO)=C(O)C(C)=C1,3.6124,14.86,7.69,14.76,10639
CC1=C(O)C(C)=C(CO)C(CO)=C1O,3.4933,9.72,7.07,11.58,10640
CC=C(O)C1=C(C=O)C=C(C)C(O)=C1,4.0463,14.29,9.52,16.26,1901
CC1=C(O)C=C2C=CC(N)=CC2=C1O,3.7933,10.26,7.62,12.37,11098
COCC(=O)C1=CC(CO)=C(O)C(C)=C1,3.5593,19.48,11.21,20.60,3180
C=CC1=C(O)C(C)=CC(C(=O)COC)=C1,3.7243,20.51,12.04,21.92,11157
C=COCC(=O)C1=CC(C)=C(O)C(C)=C1,3.7955,24.00,12.15,23.77,11158
COC(C)C(=O)C1=CC(C)=C(O)C(C)=C1,3.9095,21.92,12.62,23.19,11159
COC1OC2=C(C)C(O)=C(C)C=C2C1=O,4.2664,16.67,15.69,23.59,11160
COCC(=O)C1=C(C)C(C)=C(O)C(C)=C1,3.3457,17.11,12.62,20.84,11161
CC(=O)NC=C(O)C1=C(O)C(C)=CC=C1,3.6856,17.72,15.38,23.88,3452
CC(=O)NC=CC1=C(O)C(C)=CC(C)=C1,3.5554,18.42,12.50,21.35,11277
CC(=O)NC(C)=CC1=C(O)C(C)=CC=C1,3.5238,16.46,14.42,22.30,11278
CCC(=O)NC=CC1=C(O)C(C)=CC=C1,3.6094,18.99,13.08,22.22,11279
C=CC(=O)NC=CC1=C(O)C(C)=CC=C1,3.8063,17.50,13.08,21.45,11280
CC(=O)NC=CC1=C(O)C(C)=C(O)C=C1,3.7770,13.75,12.38,18.88,11281
CC(=O)NC=CC1=C(O)C(C)=CC=C1C,3.6440,17.33,13.86,22.16,11282
C=COC1OC2=C(C)C(O)=CC=C2C1=O,4.6169,15.85,12.96,20.43,3255
COC1OC2=C(C)C(O)=CC(C)=C2C1=O,4.3218,13.75,14.56,21.01,11290
COC1(C)OC2=C(C)C(O)=CC=C2C1=O,4.3368,16.46,17.82,25.62,11291
CC1=C2C(=O)C(C)(O)OC2=C(C)C(O)=C1,4.2967,12.66,16.00,21.90,11379
CC1=C(O)C(C)=C2OC(C)(O)C(=O)C2=C1,4.2816,15.58,16.00,23.36,11380
COC1CC2=CC(CO)=C(O)C(C)=C2O1,4.3255,13.10,14.02,20.13,3622
C=CC1=C(O)C(C)=C2OC(OC)CC2=C1,4.4865,12.94,14.95,20.98,11500
C=COC1CC2=CC(C)=C(O)C(C)=C2O1,4.5506,14.46,14.02,20.79,11501
COC1(C)CC2=CC(C)=C(O)C(C)=C2O1,4.3637,15.00,16.67,23.73,11502
COC1CC2=C(C)C(C)=C(O)C(C)=C2O1,4.0687,12.82,15.00,21.00,11503
CCNC(C)=C(O)C1=C(O)C(C)=CC=C1,3.5489,21.05,11.21,21.39,3576
CCNC(C)=CC1=C(O)C(C)=CC(C)=C1,3.4839,19.74,11.32,20.84,11739
CCNC(=CC1=C(O)C(C)=CC=C1)CC,3.6103,19.23,11.11,20.37,11740
CCCNC(C)=CC1=C(O)C(C)=CC=C1,3.3825,17.50,12.04,20.45,11742
C=CCNC(C)=CC1=C(O)C(C)=CC=C1,3.6231,15.85,11.93,19.49,11743
CCNC(C)=CC1=C(O)C(C)=C(O)C=C1,3.7055,13.75,10.28,16.78,11744
CCNC1=CC2=C(O)C(C)=CC=C2C=C1,3.5722,16.46,9.17,17.04,11745
C=C(O)C1=C(O)C(C)=C2OCC(=O)C2=C1,3.9548,17.72,12.15,20.61,3270
CC=CC1=C(O)C(C)=C2OCC(=O)C2=C1,3.9128,17.50,13.08,21.44,11767
CC1=C2OCC(=O)C2=CC(C=CN)=C1O,4.1379,15.85,12.96,20.48,11768
C=CC1=C(O)C(C)=C2OC(O)C(=O)C2=C1,4.6162,16.05,14.15,21.71,11769
C=CC1=C(O)C(C)=C2OC(C)C(=O)C2=C1,4.4443,16.05,14.15,21.73,11770
C=CC1=C(O)C(C)=C2OCC(=O)C2=C1C,3.7585,12.35,14.56,20.36,11771
CC1=CC=CC(C(O)=C(C)NC=O)=C1O,3.8888,17.72,14.29,22.76,3451
CC1=CC(C=C(C)NC=O)=C(O)C(C)=C1,3.8436,16.67,12.38,20.33,12442
CCC(=CC1=C(O)C(C)=CC=C1)NC=O,3.9317,18.75,12.96,21.94,12443
CC(=CC1=C(O)C(C)=C(O)C=C1)NC=O,4.0652,10.98,11.32,16.40,12445
CC1=CC=C2C=CC(NC=O)=CC2=C1O,3.7283,14.81,12.15,19.18,12446
CC1=C2OC(C)(O)CC2=CC(CO)=C1O,4.4954,13.41,13.21,19.47,3916
C=CC1=C(O)C(C)=C2OC(C)(O)CC2=C1,4.6604,13.25,14.15,20.31,12463
CC1=C(O)C(C)=C2OC(C)(O)CC2=C1C,4.1947,10.26,13.00,17.71,12465
CC1=C2OC(C)C(=O)C2=CC(CO)=C1O,4.2793,16.25,13.21,20.90,3121
CC1=C(O)C(C)=C2OC(C)C(=O)C2=C1C,4.0003,11.69,14.14,19.59,12807
CC1=C2OC(O)C(=O)C2=CC(CO)=C1O,4.4512,16.25,13.21,20.89,3182
CC1=C(O)C(C)=C2OC(O)C(=O)C2=C1C,4.1767,11.69,14.14,19.57,13133
CC1=CC(C(O)=CNC=O)=C(O)C(C)=C1,3.9439,18.18,11.32,20.02,912
CC1=C(O)C=CC(C(O)=CNC=O)=C1O,4.1594,12.35,10.28,16.04,13564
CC1=CC=C(C)C(C(O)=CNC=O)=C1O,4.0180,15.58,12.62,20.01,13565
CC=COCC(=O)C1=CC=C(O)C(C)=C1,3.9791,18.99,11.01,20.10,38
C=COC(C)C(=O)C1=CC=C(O)C(C)=C1,4.3440,17.95,11.21,19.75,13582
C=COCC(=O)C1=C(C)C=C(O)C(C)=C1,3.8678,17.72,11.11,19.59,13584
CC1=CC(C(=O)C(C)O)=CC(CO)=C1O,4.0875,18.42,9.35,18.15,3120
C=CC1=C(O)C(C)=CC(C(=O)C(C)O)=C1,4.2568,18.42,10.38,19.16,13602
CC1=CC(C(=O)C(C)O)=C(C)C(C)=C1O,3.8712,16.00,10.68,18.29,13605
CCNC=C(O)C1=C(O)C(C)=CC(C)=C1,3.6844,19.74,10.28,19.78,913
CCCNC=C(O)C1=C(O)C(C)=CC=C1,3.6641,17.50,11.01,19.39,13796
