smiles,sa_score,sim_source,sim_target,comp_score,path_id
C=C(O)C1=C(O)C(C)=CC(C)=C1,3.5599,16.90,8.91,17.01,19
CC1=CC=CC(C(O)=CN)=C1O,3.8883,14.47,11.76,18.61,146
C=C(O)C1=C(O)C(C)=C(O)C=C1,3.8380,10.67,7.84,12.79,147
C=C(O)C1=C(O)C(C)=CC=C1C,3.6165,14.08,10.20,16.88,148
CC1=CC(C=CN)=C(O)C(C)=C1,3.8045,14.86,9.80,16.86,155
C=CC1=C(O)C(C)=C(O)C(C)=C1,3.7467,13.70,10.00,16.47,157
C=CC1=C(O)C(C)=CC(C)=C1C,3.5824,13.51,12.12,18.52,158
CNC=CC1=C(O)C(C)=CC=C1,3.9151,14.47,11.76,18.61,173
CC1=C(O)C=CC(C=CN)=C1O,4.0814,8.97,8.74,12.82,174
CC1=CC=C(C)C(C=CN)=C1O,3.9152,12.16,11.11,16.80,175
C=CC1=CC=C(C)C(O)=C1CO,3.7974,12.99,9.62,15.73,41
C=CC1=C(C)C=C(C)C(O)=C1C,3.5824,13.51,12.12,18.52,177
CC=CC1=CC=C(C)C(O)=C1C,3.6578,12.00,12.12,17.76,178
C=CC1=CC(O)=C(C)C(O)=C1C,3.7738,10.67,10.00,14.96,179
C=C(O)C1=CC=C(C)C(O)=C1C,3.6698,13.70,11.11,17.59,180
CC1=C(C=O)C(O)=C(C)C(O)=C1,3.6960,13.51,13.27,19.65,1
C=CC1=C(C=O)C=C(C)C(O)=C1,4.1131,13.16,9.71,15.88,37
CC1=CC(C=O)=C(CO)C=C1O,3.9068,14.47,9.62,16.46,199
CC1=CC(C)=C(C)C(CO)=C1O,3.4237,15.28,10.00,17.30,26
CC1=C(C)C(O)=C(C)C(O)=C1C,3.1446,8.96,7.53,11.69,213
CC1=CC(C)=C(CO)C(C)=C1O,3.3535,15.28,10.00,17.30,214
CC1=CC(CO)=C(O)C(C)=C1O,3.5728,13.89,9.00,15.59,25
CC1=C2CCOC2=C(C)C(O)=C1,3.6331,11.69,9.71,15.19,66
C=CC1=CC(OC)=C(C)C(O)=C1,3.8324,11.54,9.62,15.00,269
CC1=CC(OCO)=C(C)C(O)=C1,3.6176,16.67,8.82,16.80,270
COC1=C(C)C(O)=CC(CO)=C1,3.6916,13.16,9.71,15.92,272
COC1=C(C)C(O)=C(C)C(C)=C1,3.3675,15.49,11.22,18.63,273
C=CC1=C(O)C(C)=C(O)C=C1C,3.7705,12.00,11.00,16.62,299
C=CC1=C(O)C(C)=CC=C1CO,3.7155,12.99,10.68,16.80,300
COC1=C(C)C(O)=C(CO)C=C1,3.4954,11.69,9.71,15.20,311
C=CC1=C(O)C(C)=C(OC)C=C1,3.7253,11.54,10.68,16.08,312
CC1=C(O)C(C)=C(OCO)C=C1,3.5534,15.07,9.90,17.08,313
CC1=CC=C(CO)C(CO)=C1O,3.5617,13.70,8.91,15.40,44
CC1=C(O)C=C(CO)C(C)=C1O,3.5469,12.33,7.92,13.73,329
C=C(O)C1=C(C)C=C(C)C(O)=C1,3.8369,15.28,7.84,15.10,56
CC=C(O)C1=CC=C(C)C(O)=C1,3.9540,15.07,9.90,17.04,338
C=C(O)C1=CC(O)=C(C)C(O)=C1,3.9154,12.16,6.80,12.49,340
CC1=C2OC(O)CC2=CC=C1O,4.3521,10.13,11.76,16.39,64
COCOC1=C(C)C(O)=CC=C1,3.3733,12.82,10.58,16.65,346
CC1=CC(CC(C)O)=CC=C1O,4.0567,14.67,9.71,16.64,350
CCCC1=C(C)C=C(O)C(C)=C1,3.5022,15.07,7.77,14.95,352
CC1=CC(O)=C(C)C(O)=C1CO,3.6118,13.70,8.91,15.40,356
C=CC1=C(C)C(O)=C(C)C(O)=C1,3.8085,12.16,8.91,14.61,366
CC1=C(CO)C=C(O)C(C)=C1O,3.5955,12.33,7.92,13.73,368
CC=CC1=C(C)C=C(C)C(O)=C1,3.7844,13.51,8.82,15.20,68
CC1=CC=C(C=CCN)C=C1O,3.9077,12.82,9.52,15.54,420
CC(C)=CC1=CC=C(C)C(O)=C1,3.7197,12.00,12.12,17.75,421
CC=CC1=CC(O)=C(C)C(O)=C1,3.8125,9.09,7.77,11.93,422
CC1=CC=C(C=CC=N)C=C1O,4.3264,11.54,9.62,14.95,426
C=CC1=C(CC)C=C(C)C(O)=C1,3.9726,14.47,7.55,14.39,432
CC1=CC(CCO)=C(C)C=C1O,3.6859,13.51,7.77,14.16,449
CCC1=C(CO)C=C(O)C(C)=C1,3.7663,13.51,6.73,13.11,452
COCCC1=CC=C(O)C(C)=C1,3.4494,16.00,10.68,18.33,466
CC(=O)C1=CC(CO)=C(O)C(C)=C1,3.5758,19.18,10.68,19.91,102
C=CC1=C(O)C(C)=CC(C(C)=O)=C1,3.7700,18.92,11.65,20.73,547
CC1=CC(C(=O)CO)=CC(C)=C1O,3.5747,22.86,10.78,21.86,548
CCC(=O)C1=CC(C)=C(O)C(C)=C1,3.4060,24.64,10.78,22.76,549
CC1=C(O)C(C)=C2OCC(=O)C2=C1,3.6760,17.57,12.87,21.29,550
CC(=O)C1=C(C)C(C)=C(O)C(C)=C1,3.3454,15.28,12.24,19.55,551
CC1=C2C(=O)COC2=C(C)C(O)=C1,3.7048,14.47,11.76,18.63,100
CC1=C2OC(O)C(=O)C2=CC=C1O,4.3736,15.79,12.75,20.20,588
CC1=C2OC(C)C(=O)C2=CC=C1O,4.1771,15.79,12.75,20.22,589
CCC(=O)C1=C(C)C=C(O)C(C)=C1,3.5388,17.81,9.71,18.26,614
CC1=CC(C(=O)C(C)O)=CC=C1O,4.0869,17.81,9.71,18.20,615
C=CC1=C(C=O)C(O)=C(C)C(O)=C1,4.0031,12.82,11.65,17.66,1
CC1=C(O)C(C=O)=C(CO)C=C1O,3.8090,12.82,12.75,18.77,623
CC1=C(O)C(C)=C(O)C(C=O)=C1C,3.4781,9.59,11.46,15.91,625
CC1=C(O)C(C)=C2OC(C)CC2=C1,4.1060,12.82,13.86,19.86,144
CCOC1=C(C)C(O)=C(CO)C=C1,3.3861,17.33,8.49,16.82,659
C=CC1=C(O)C(C)=C(OCC)C=C1,3.5962,18.42,9.35,18.20,660
CC1=C(O)C(C)=C(OC(C)O)C=C1,4.0216,13.16,9.71,15.89,661
CCOC1=C(C)C(O)=C(C)C(C)=C1,3.2900,21.43,9.80,20.19,662
CCC=C(O)C1=C(O)C(C)=CC=C1,3.6731,17.11,11.54,19.72,121
CCC=CC1=C(O)C(C)=CC(C)=C1,3.4922,17.57,9.62,18.05,675
CCC(N)=CC1=C(O)C(C)=CC=C1,3.7442,15.38,12.50,19.82,676
CC1=CC=CC(C=CCC=N)=C1O,4.1982,13.92,11.43,17.97,677
CCC=CC1=C(O)C(C)=C(O)C=C1,3.7455,11.54,8.57,13.97,678
CC1=CC2=CC=C(C)C(O)=C2C=C1,3.5489,16.44,9.80,17.67,679
CC1=C2CC(C)OC2=C(C)C(O)=C1,4.1063,11.39,11.65,16.94,143
C=CC1=CC(OCC)=C(C)C(O)=C1,3.7180,16.88,8.33,16.40,680
CC1=CC(OC(C)O)=C(C)C(O)=C1,4.0219,14.67,8.65,15.58,681
CCOC1=C(C)C(O)=CC(CO)=C1,3.5892,17.33,8.49,16.80,682
COCC(=O)C1=CC=C(O)C(C)=C1,3.5413,20.27,11.54,21.32,38
CC1=CC(C(=O)CO)=C(C)C=C1O,3.6598,16.22,9.71,17.45,698
CC=C(O)C1=C(O)C(C)=CC(C)=C1,3.6160,16.67,9.90,17.87,33
CC1=CC=CC(C(O)=C(C)N)=C1O,3.6021,17.57,11.76,20.19,708
CC=C(O)C1=C(O)C(C)=C(O)C=C1,3.8695,10.53,8.82,13.70,710
CC1=CC=C2C=CC=C(O)C2=C1O,3.6168,12.00,12.12,17.76,711
CC(N)=CC1=C(O)C(C)=CC(C)=C1,3.5840,14.67,10.78,17.76,720
CNC(C)=CC1=C(O)C(C)=CC=C1,3.6993,14.29,12.75,19.52,721
CC(N)=CC1=C(O)C(C)=C(O)C=C1,3.8446,8.86,9.71,13.75,723
CC1=CC=C2C=CC(N)=CC2=C1O,3.6688,12.99,9.62,15.74,724
CC1=CC(C=O)=C(C)C(CO)=C1O,3.6515,14.29,11.65,18.43,110
C=CC1=C(O)C(C)=CC(C=O)=C1C,3.7962,12.82,12.75,18.78,730
C=CC1=C(C=O)C=C(C)C(O)=C1C,3.7962,14.29,12.75,19.51,731
CC1=CC(C=O)=C(CO)C(C)=C1O,3.6515,14.29,11.65,18.43,734
CC1=C(O)C(C=O)=CC(CO)=C1O,3.7977,12.99,10.68,16.79,109
C=CC1=C(O)C(C)=C(O)C(C=O)=C1,3.9919,12.99,10.68,16.77,790
CC1=C(O)C(C)=C2OCCC2=C1C,3.4030,9.21,10.00,14.26,273
COC1=C(C)C(O)=C(CO)C(C)=C1,3.5130,16.00,10.68,18.33,826
C=CC1=C(O)C(C)=C(OC)C=C1C,3.6577,14.29,12.75,19.52,827
C=CC1=CC(OC)=C(C)C(O)=C1C,3.6607,12.99,11.76,17.89,828
CC1=CC(OCO)=C(C)C(O)=C1C,3.5886,16.67,9.90,17.88,829
COC1=C(C)C(O)=C(C)C(CO)=C1,3.4538,14.67,9.71,16.70,831
CC1=CC(C(O)=CN)=C(O)C(C)=C1,3.7624,16.22,9.71,17.44,146
CNC=C(O)C1=C(O)C(C)=CC=C1,3.8632,15.58,11.54,18.94,899
CC1=C(O)C=CC(C(O)=CN)=C1O,4.0159,10.26,8.65,13.38,900
CC1=CC=C(C)C(C(O)=CN)=C1O,3.8496,13.51,11.00,17.37,901
CNC=CC1=C(O)C(C)=CC(C)=C1,3.8265,16.22,9.71,17.43,910
CC1=CC=CC(C=CNC=O)=C1O,3.9910,15.38,13.59,20.89,912
CCNC=CC1=C(O)C(C)=CC=C1,3.8341,16.88,12.50,20.56,913
CNC=CC1=C(O)C(C)=C(O)C=C1,4.0798,11.54,9.62,14.98,914
CNC=CC1=C(O)C(C)=CC=C1C,3.9277,15.07,11.00,18.14,915
C=C(O)C1=C(O)C(C)=CC(C)=C1C,3.5605,15.07,9.90,17.08,158
CC1=CC(C)=C2C=CC=CC2=C1O,3.4262,13.89,12.37,18.97,917
CC1=CC(C)=C(C)C(C=CN)=C1O,3.8440,13.16,11.88,18.08,918
C=CC1=C(O)C(C)=CC(CC)=C1C,3.6639,14.29,10.58,17.35,919
C=CC1=C(O)C(C)=C(O)C(C)=C1C,3.4997,8.11,9.18,12.89,920
C=CC1=C(O)C(C)=CC(C)=C1CO,3.6093,14.29,10.58,17.36,921
C=CC1=C(C)C=C(C)C(O)=C1CO,3.6733,14.29,10.58,17.35,177
CC=CC1=C(C)C=C(C)C(O)=C1C,3.5726,13.33,12.00,18.31,936
C=CC1=C(CC)C=C(C)C(O)=C1C,3.6639,15.79,10.58,18.11,937
C=CC1=C(C)C(O)=C(C)C(O)=C1C,3.4997,8.22,9.28,13.04,938
C=C(O)C1=C(C)C=C(C)C(O)=C1C,3.5605,15.07,9.90,17.08,939
C=CC1=C(C(C)=O)C=C(C)C(O)=C1,3.8744,14.29,10.58,17.33,101
CC(=O)C1=C(CO)C=C(O)C(C)=C1,3.6803,14.47,9.62,16.48,1063
C=COCCC1=CC=C(O)C(C)=C1,3.8354,13.75,10.28,16.77,1100
COC(C)CC1=CC=C(O)C(C)=C1,4.0654,15.58,10.48,17.86,1101
COC1CC2=CC=C(O)C(C)=C2O1,4.1841,11.11,13.59,18.73,1102
COCCC1=C(C)C=C(O)C(C)=C1,3.5181,16.00,9.62,17.26,1103
COCCC1=CC(C)=C(O)C(C)=C1,3.2950,17.57,11.76,20.22,1104
C=C(O)C1=C(O)C(C)=CC(CC)=C1,3.7081,16.00,8.57,16.20,125
CC=CC1=C(O)C(C)=CC(CC)=C1,3.6645,15.79,10.58,18.11,1106
CCC1=CC(C=CN)=C(O)C(C)=C1,3.9282,14.10,10.48,17.13,1107
C=CC1=C(O)C(C)=CC(CCO)=C1,3.7389,14.10,10.48,17.15,1108
C=CC1=C(O)C(C)=CC(CCC)=C1,3.6104,15.58,10.48,17.91,1109
C=CC1=C(O)C(C)=C2OCCC2=C1,3.9006,12.35,11.32,17.10,1110
CC1=C2OCCC2=CC(CO)=C1O,3.7172,12.50,10.38,16.26,128
CC1=C(O)C(C)=C2OC(O)CC2=C1,4.3554,12.82,13.86,19.84,1149
CCCC1=CC(CO)=C(O)C(C)=C1,3.4218,14.47,8.57,15.47,127
CC1=CC(CC(C)O)=CC(C)=C1O,3.9028,16.22,10.78,18.50,1229
CCCC1=C(C)C(C)=C(O)C(C)=C1,3.3027,15.07,8.82,16.03,1231
CC=CC1=C(O)C(C)=CC(C=O)=C1,3.8954,14.47,10.68,17.53,1247
CC=CC1=C(O)C(C)=C(O)C(C)=C1,3.6367,13.51,9.90,16.29,1251
CC=CC1=CC=C(C)C(O)=C1CO,3.7403,12.82,9.52,15.56,178
CC1=CC=C(C=CC=N)C(C)=C1O,4.0975,11.54,11.76,17.12,1273
CC=CC1=CC(O)=C(C)C(O)=C1C,3.7164,10.53,9.90,14.79,1274
CC=C(O)C1=CC=C(C)C(O)=C1C,3.7162,13.70,11.11,17.59,1275
CC(C)=CC1=C(C)C=C(C)C(O)=C1,3.6738,13.51,11.00,17.39,421
CC(=CC1=CC=C(C)C(O)=C1)CN,3.9299,12.66,10.48,16.41,1291
CC(C=N)=CC1=CC=C(C)C(O)=C1,4.2692,11.39,10.58,15.85,1292
CC(C)=CC1=CC(O)=C(C)C(O)=C1,3.7552,9.09,9.90,14.07,1293
