smiles
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O
NC(=O)[C@H]1CCCC[C@H]1NC(=O)C2(CCCCC2)NC(=O)[C@H](Cc3ccc(O[P](O)(O)=O)cc3)NC(=O)OCc4cccc(N)c4
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2C(/CCC[C@]12C)=C/C=C3/C[C@@H](O)C[C@H](O)C3=C
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
CC1(C)CC[C@H](c2cnc3ccccc3c2)c4cc(ccc14)C(=O)Nc5ccc(cc5)C(O)=O
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4
CC1(C)CCC(C)(C)c2cc(ccc12)[C@@H](O)C(=O)Nc3ccc(cc3F)C(O)=O
O[C@H]1[C@@H](O[P](O)(O)=O)[C@H](O)[C@@H](O[P](O)(O)=O)[C@H](O[P](O)(O)=O)[C@H]1O[P](O)(O)=O
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1
CC1(C)CCC(C)(C)c2cc(ccc12)[C@@H](O)c3ccc4cc(ccc4c3)C(O)=O
CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)c3ccc4cc(ccc4c3)C(O)=O
CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)/C=C/c3ccc(cc3)C(O)=O
CC1(C)CCC(C)(C)c2cc(ccc12)C(=N/O)/c3ccc4cc(ccc4c3)C(O)=O
O[C@H]1[C@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@H](O[P](O)(O)=O)[C@H]1O[P](O)(O)=O
CC[C@@H]1/C=C(C)/[C@@H](O)[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(C)=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC
CO[C@@H]1C[C@@H](CC[C@H]1O)/C=C(C)/[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)C)OC)[C@H](C[C@H]4C)OC
CO[C@@H]1C[C@@H](CC[C@H]1O)C[C@@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(C)/[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC
Cc1oc(nc1CCOc2ccc(C[C@H](Nc3ccccc3C(=O)c4ccccc4)C(O)=O)cc2)c5ccccc5
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1
[O-][N+](=O)C1=CC2=NC(=O)C(=O)N=C2C=C1[N+]([O-])=O
Cc1onc(O)c1C[C@H](N)C(O)=O
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
Oc1ccc(cc1)c2sc3cc(O)ccc3c2
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
CC(C)(Oc1ccc(CCCN(CCc2c(F)cccc2Cl)C(=O)Nc3cccc(Cl)c3Cl)cc1)C(O)=O
Cc1cc2c(cc1C3(CC3)c4ccc(cn4)C(O)=O)C(C)(C)CCC2(C)C
CCCCN(C)C(=O)CCCCCCCCCC[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
CCO[C@@H](Cc1ccc(OCCc2ccc(O[S](C)(=O)=O)cc2)cc1)C(O)=O
CCO[C@@H](Cc1ccc(OCCc2ccc(O[S](C)(=O)=O)cc2)cc1)C(O)=O
CCC(O)(CC)CCCO[C@H](C)[C@H]1CC[C@H]2C(/CCC[C@]12C)=C/C=C3/C[C@@H](O)C[C@H](O)C3=C
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2C(/CCC[C@]12C)=C/C=C3/C[C@@H](O)C[C@H](O)C3=C
CCO[P](=O)(OCC)C(=Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)[P](=O)(OCC)OCC
C[C@@](N)(C(O)=O)c1ccc(cc1)C(O)=O
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2sccc2)C(=O)NO
CC(/N[C@@H](Cc1ccc(OCCc2nc(oc2C)c3ccccc3)cc1)C(O)=O)=C/C(=O)c4ccccc4
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1
CC(/N[C@@H](Cc1ccc(OCCc2nc(oc2C)c3ccccc3)cc1)C(O)=O)=C/C(=O)c4ccccc4
CCC(=O)NC[C@H](Cc1ccc(OCCc2nc(oc2C)c3ccccc3)cc1)N\C(C)=C/C(=O)c4ccc(cc4)C(F)(F)F
CCO[C@@H](Cc1ccc(OCCn2c3ccccc3c4ccccc24)cc1)C(O)=O
CC[C@@H]1Cc2cc(O)ccc2C3=C1c4ccc(O)cc4C[C@H]3CC
CC[C@@H]1Cc2cc(O)ccc2C3=C1c4ccc(O)cc4C[C@H]3CC
N[S](=O)(=O)c1cc2c(N[C@@H](N[S]2(=O)=O)[C@H]3C[C@@H]4C[C@H]3C=C4)cc1Cl
OC(=O)CCc1c([nH]c2cc(Cl)cc(Cl)c12)C(O)=O
