weight_label,a0p8_b0p05_g0p3,a0p8_b0p05_g0p5,a0p8_b0p05_g0p7,a0p8_b0p1_g0p3,a0p8_b0p1_g0p5,a0p8_b0p1_g0p7,a0p8_b0p2_g0p3,a0p8_b0p2_g0p5,a0p8_b0p2_g0p7,a1_b0p05_g0p3,a1_b0p05_g0p5,a1_b0p05_g0p7,a1_b0p1_g0p3,a1_b0p1_g0p5,a1_b0p1_g0p7,a1_b0p2_g0p3,a1_b0p2_g0p5,a1_b0p2_g0p7,a1p2_b0p05_g0p3,a1p2_b0p05_g0p5,a1p2_b0p05_g0p7,a1p2_b0p1_g0p3,a1p2_b0p1_g0p5,a1p2_b0p1_g0p7,a1p2_b0p2_g0p3,a1p2_b0p2_g0p5,a1p2_b0p2_g0p7
a0p8_b0p05_g0p3,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a0p8_b0p05_g0p5,0.990253,1.000000,0.978887,0.988327,1.000000,0.978887,0.988327,0.994163,0.978887,0.988327,0.990253,0.986460,0.988327,0.990253,0.986460,0.988327,0.990253,0.986460,0.988327,0.990253,0.990253,0.988327,0.990253,0.990253,0.988327,0.990253,0.990253
a0p8_b0p05_g0p7,0.969407,0.978887,1.000000,0.967557,0.978887,1.000000,0.967557,0.984645,1.000000,0.967557,0.969407,0.992308,0.967557,0.969407,0.992308,0.967557,0.969407,0.992308,0.967557,0.969407,0.969407,0.967557,0.969407,0.969407,0.967557,0.969407,0.969407
a0p8_b0p1_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a0p8_b0p1_g0p5,0.990253,1.000000,0.978887,0.988327,1.000000,0.978887,0.988327,0.994163,0.978887,0.988327,0.990253,0.986460,0.988327,0.990253,0.986460,0.988327,0.990253,0.986460,0.988327,0.990253,0.990253,0.988327,0.990253,0.990253,0.988327,0.990253,0.990253
a0p8_b0p1_g0p7,0.969407,0.978887,1.000000,0.967557,0.978887,1.000000,0.967557,0.984645,1.000000,0.967557,0.969407,0.992308,0.967557,0.969407,0.992308,0.967557,0.969407,0.992308,0.967557,0.969407,0.969407,0.967557,0.969407,0.969407,0.967557,0.969407,0.969407
a0p8_b0p2_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a0p8_b0p2_g0p5,0.984496,0.994163,0.984645,0.982592,0.994163,0.984645,0.982592,1.000000,0.984645,0.982592,0.984496,0.992263,0.982592,0.984496,0.992263,0.982592,0.984496,0.992263,0.982592,0.984496,0.984496,0.982592,0.984496,0.984496,0.982592,0.984496,0.984496
a0p8_b0p2_g0p7,0.969407,0.978887,1.000000,0.967557,0.978887,1.000000,0.967557,0.984645,1.000000,0.967557,0.969407,0.992308,0.967557,0.969407,0.992308,0.967557,0.969407,0.992308,0.967557,0.969407,0.969407,0.967557,0.969407,0.969407,0.967557,0.969407,0.969407
a1_b0p05_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a1_b0p05_g0p5,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1_b0p05_g0p7,0.976879,0.986460,0.992308,0.975000,0.986460,0.992308,0.975000,0.992263,0.992308,0.975000,0.976879,1.000000,0.975000,0.976879,1.000000,0.975000,0.976879,1.000000,0.975000,0.976879,0.976879,0.975000,0.976879,0.976879,0.975000,0.976879,0.976879
a1_b0p1_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a1_b0p1_g0p5,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1_b0p1_g0p7,0.976879,0.986460,0.992308,0.975000,0.986460,0.992308,0.975000,0.992263,0.992308,0.975000,0.976879,1.000000,0.975000,0.976879,1.000000,0.975000,0.976879,1.000000,0.975000,0.976879,0.976879,0.975000,0.976879,0.976879,0.975000,0.976879,0.976879
a1_b0p2_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a1_b0p2_g0p5,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1_b0p2_g0p7,0.976879,0.986460,0.992308,0.975000,0.986460,0.992308,0.975000,0.992263,0.992308,0.975000,0.976879,1.000000,0.975000,0.976879,1.000000,0.975000,0.976879,1.000000,0.975000,0.976879,0.976879,0.975000,0.976879,0.976879,0.975000,0.976879,0.976879
a1p2_b0p05_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a1p2_b0p05_g0p5,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1p2_b0p05_g0p7,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1p2_b0p1_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a1p2_b0p1_g0p5,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1p2_b0p1_g0p7,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1p2_b0p2_g0p3,0.998043,0.988327,0.967557,1.000000,0.988327,0.967557,1.000000,0.982592,0.967557,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.975000,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043,1.000000,0.998043,0.998043
a1p2_b0p2_g0p5,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
a1p2_b0p2_g0p7,1.000000,0.990253,0.969407,0.998043,0.990253,0.969407,0.998043,0.984496,0.969407,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,0.976879,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000,0.998043,1.000000,1.000000
