weight_label,a0p8_b0p05_g0p3,a0p8_b0p05_g0p5,a0p8_b0p05_g0p7,a0p8_b0p1_g0p3,a0p8_b0p1_g0p5,a0p8_b0p1_g0p7,a0p8_b0p2_g0p3,a0p8_b0p2_g0p5,a0p8_b0p2_g0p7,a1_b0p05_g0p3,a1_b0p05_g0p5,a1_b0p05_g0p7,a1_b0p1_g0p3,a1_b0p1_g0p5,a1_b0p1_g0p7,a1_b0p2_g0p3,a1_b0p2_g0p5,a1_b0p2_g0p7,a1p2_b0p05_g0p3,a1p2_b0p05_g0p5,a1p2_b0p05_g0p7,a1p2_b0p1_g0p3,a1p2_b0p1_g0p5,a1p2_b0p1_g0p7,a1p2_b0p2_g0p3,a1p2_b0p2_g0p5,a1p2_b0p2_g0p7
a0p8_b0p05_g0p3,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a0p8_b0p05_g0p5,0.973022,1.000000,0.989189,0.973022,1.000000,0.985612,0.973022,1.000000,0.985612,0.969534,0.973022,0.990991,0.969534,0.973022,0.990991,0.955752,0.973022,0.990991,0.957522,0.973022,0.998188,0.950704,0.973022,0.998188,0.950704,0.973022,0.998188
a0p8_b0p05_g0p7,0.962500,0.989189,1.000000,0.962500,0.989189,0.996390,0.962500,0.989189,0.996390,0.959075,0.962500,0.998195,0.959075,0.962500,0.998195,0.948944,0.962500,0.998195,0.947276,0.962500,0.987410,0.943958,0.962500,0.987410,0.943958,0.962500,0.987410
a0p8_b0p1_g0p3,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a0p8_b0p1_g0p5,0.973022,1.000000,0.989189,0.973022,1.000000,0.985612,0.973022,1.000000,0.985612,0.969534,0.973022,0.990991,0.969534,0.973022,0.990991,0.955752,0.973022,0.990991,0.957522,0.973022,0.998188,0.950704,0.973022,0.998188,0.950704,0.973022,0.998188
a0p8_b0p1_g0p7,0.959002,0.985612,0.996390,0.959002,0.985612,1.000000,0.959002,0.985612,1.000000,0.955595,0.959002,0.994595,0.955595,0.959002,0.994595,0.945518,0.959002,0.994595,0.943860,0.959002,0.983842,0.940559,0.959002,0.983842,0.940559,0.959002,0.983842
a0p8_b0p2_g0p3,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a0p8_b0p2_g0p5,0.973022,1.000000,0.989189,0.973022,1.000000,0.985612,0.973022,1.000000,0.985612,0.969534,0.973022,0.990991,0.969534,0.973022,0.990991,0.955752,0.973022,0.990991,0.957522,0.973022,0.998188,0.950704,0.973022,0.998188,0.950704,0.973022,0.998188
a0p8_b0p2_g0p7,0.959002,0.985612,0.996390,0.959002,0.985612,1.000000,0.959002,0.985612,1.000000,0.955595,0.959002,0.994595,0.955595,0.959002,0.994595,0.945518,0.959002,0.994595,0.943860,0.959002,0.983842,0.940559,0.959002,0.983842,0.940559,0.959002,0.983842
a1_b0p05_g0p3,0.996350,0.969534,0.959075,0.996350,0.969534,0.955595,0.996350,0.969534,0.955595,1.000000,0.996350,0.960854,1.000000,0.996350,0.960854,0.985586,0.996350,0.960854,0.987387,0.996350,0.971326,0.980287,0.996350,0.971326,0.980287,0.996350,0.971326
a1_b0p05_g0p5,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a1_b0p05_g0p7,0.964286,0.990991,0.998195,0.964286,0.990991,0.994595,0.964286,0.990991,0.994595,0.960854,0.964286,1.000000,0.960854,0.964286,1.000000,0.950704,0.964286,1.000000,0.949033,0.964286,0.989209,0.945709,0.964286,0.989209,0.945709,0.964286,0.989209
a1_b0p1_g0p3,0.996350,0.969534,0.959075,0.996350,0.969534,0.955595,0.996350,0.969534,0.955595,1.000000,0.996350,0.960854,1.000000,0.996350,0.960854,0.985586,0.996350,0.960854,0.987387,0.996350,0.971326,0.980287,0.996350,0.971326,0.980287,0.996350,0.971326
a1_b0p1_g0p5,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a1_b0p1_g0p7,0.964286,0.990991,0.998195,0.964286,0.990991,0.994595,0.964286,0.990991,0.994595,0.960854,0.964286,1.000000,0.960854,0.964286,1.000000,0.950704,0.964286,1.000000,0.949033,0.964286,0.989209,0.945709,0.964286,0.989209,0.945709,0.964286,0.989209
a1_b0p2_g0p3,0.981982,0.955752,0.948944,0.981982,0.955752,0.945518,0.981982,0.955752,0.945518,0.985586,0.981982,0.950704,0.985586,0.981982,0.950704,1.000000,0.981982,0.950704,0.987455,0.981982,0.957522,0.994614,0.981982,0.957522,0.994614,0.981982,0.957522
a1_b0p2_g0p5,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
