weight_label,a0p8_b0p05_g0p3,a0p8_b0p05_g0p5,a0p8_b0p05_g0p7,a0p8_b0p1_g0p3,a0p8_b0p1_g0p5,a0p8_b0p1_g0p7,a0p8_b0p2_g0p3,a0p8_b0p2_g0p5,a0p8_b0p2_g0p7,a1_b0p05_g0p3,a1_b0p05_g0p5,a1_b0p05_g0p7,a1_b0p1_g0p3,a1_b0p1_g0p5,a1_b0p1_g0p7,a1_b0p2_g0p3,a1_b0p2_g0p5,a1_b0p2_g0p7,a1p2_b0p05_g0p3,a1p2_b0p05_g0p5,a1p2_b0p05_g0p7,a1p2_b0p1_g0p3,a1p2_b0p1_g0p5,a1p2_b0p1_g0p7,a1p2_b0p2_g0p3,a1p2_b0p2_g0p5,a1p2_b0p2_g0p7
a1_b0p2_g0p7,0.964286,0.990991,0.998195,0.964286,0.990991,0.994595,0.964286,0.990991,0.994595,0.960854,0.964286,1.000000,0.960854,0.964286,1.000000,0.950704,0.964286,1.000000,0.949033,0.964286,0.989209,0.945709,0.964286,0.989209,0.945709,0.964286,0.989209
a1p2_b0p05_g0p3,0.983784,0.957522,0.947276,0.983784,0.957522,0.943860,0.983784,0.957522,0.943860,0.987387,0.983784,0.949033,0.987387,0.983784,0.949033,0.987455,0.983784,0.949033,1.000000,0.983784,0.959292,0.992832,0.983784,0.959292,0.992832,0.983784,0.959292
a1p2_b0p05_g0p5,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a1p2_b0p05_g0p7,0.974820,0.998188,0.987410,0.974820,0.998188,0.983842,0.974820,0.998188,0.983842,0.971326,0.974820,0.989209,0.971326,0.974820,0.989209,0.957522,0.974820,0.989209,0.959292,0.974820,1.000000,0.952465,0.974820,1.000000,0.952465,0.974820,1.000000
a1p2_b0p1_g0p3,0.976703,0.950704,0.943958,0.976703,0.950704,0.940559,0.976703,0.950704,0.940559,0.980287,0.976703,0.945709,0.980287,0.976703,0.945709,0.994614,0.976703,0.945709,0.992832,0.976703,0.952465,1.000000,0.976703,0.952465,1.000000,0.976703,0.952465
a1p2_b0p1_g0p5,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a1p2_b0p1_g0p7,0.974820,0.998188,0.987410,0.974820,0.998188,0.983842,0.974820,0.998188,0.983842,0.971326,0.974820,0.989209,0.971326,0.974820,0.989209,0.957522,0.974820,0.989209,0.959292,0.974820,1.000000,0.952465,0.974820,1.000000,0.952465,0.974820,1.000000
a1p2_b0p2_g0p3,0.976703,0.950704,0.943958,0.976703,0.950704,0.940559,0.976703,0.950704,0.940559,0.980287,0.976703,0.945709,0.980287,0.976703,0.945709,0.994614,0.976703,0.945709,0.992832,0.976703,0.952465,1.000000,0.976703,0.952465,1.000000,0.976703,0.952465
a1p2_b0p2_g0p5,1.000000,0.973022,0.962500,1.000000,0.973022,0.959002,1.000000,0.973022,0.959002,0.996350,1.000000,0.964286,0.996350,1.000000,0.964286,0.981982,1.000000,0.964286,0.983784,1.000000,0.974820,0.976703,1.000000,0.974820,0.976703,1.000000,0.974820
a1p2_b0p2_g0p7,0.974820,0.998188,0.987410,0.974820,0.998188,0.983842,0.974820,0.998188,0.983842,0.971326,0.974820,0.989209,0.971326,0.974820,0.989209,0.957522,0.974820,0.989209,0.959292,0.974820,1.000000,0.952465,0.974820,1.000000,0.952465,0.974820,1.000000
