weight_label,a0p8_b0p05_g0p3,a0p8_b0p05_g0p5,a0p8_b0p05_g0p7,a0p8_b0p1_g0p3,a0p8_b0p1_g0p5,a0p8_b0p1_g0p7,a0p8_b0p2_g0p3,a0p8_b0p2_g0p5,a0p8_b0p2_g0p7,a1_b0p05_g0p3,a1_b0p05_g0p5,a1_b0p05_g0p7,a1_b0p1_g0p3,a1_b0p1_g0p5,a1_b0p1_g0p7,a1_b0p2_g0p3,a1_b0p2_g0p5,a1_b0p2_g0p7,a1p2_b0p05_g0p3,a1p2_b0p05_g0p5,a1p2_b0p05_g0p7,a1p2_b0p1_g0p3,a1p2_b0p1_g0p5,a1p2_b0p1_g0p7,a1p2_b0p2_g0p3,a1p2_b0p2_g0p5,a1p2_b0p2_g0p7
a0p8_b0p05_g0p3,1.000000,0.933230,0.872593,1.000000,0.936335,0.872593,0.978022,0.915385,0.872593,0.998428,0.928349,0.895455,0.998428,0.928349,0.892749,0.998428,0.945312,0.892749,0.973846,0.978022,0.925350,0.973846,0.978022,0.925350,0.973846,0.978022,0.925350
a0p8_b0p05_g0p5,0.933230,1.000000,0.929907,0.933230,0.996732,0.929907,0.947950,0.970921,0.929907,0.931783,0.978793,0.955343,0.931783,0.978793,0.952305,0.931783,0.986971,0.952305,0.920611,0.947950,0.982026,0.920611,0.947950,0.982026,0.920611,0.947950,0.982026
a0p8_b0p05_g0p7,0.872593,0.929907,1.000000,0.872593,0.927019,1.000000,0.891403,0.942006,1.000000,0.874074,0.928013,0.963722,0.874074,0.928013,0.966877,0.874074,0.917957,0.966877,0.880707,0.891403,0.931034,0.880707,0.891403,0.931034,0.880707,0.891403,0.931034
a0p8_b0p1_g0p3,1.000000,0.933230,0.872593,1.000000,0.936335,0.872593,0.978022,0.915385,0.872593,0.998428,0.928349,0.895455,0.998428,0.928349,0.892749,0.998428,0.945312,0.892749,0.973846,0.978022,0.925350,0.973846,0.978022,0.925350,0.973846,0.978022,0.925350
a0p8_b0p1_g0p5,0.936335,0.996732,0.927019,0.936335,1.000000,0.927019,0.951104,0.974152,0.927019,0.934884,0.982055,0.952305,0.934884,0.982055,0.949287,0.934884,0.990228,0.949287,0.923664,0.951104,0.985294,0.923664,0.951104,0.985294,0.923664,0.951104,0.985294
a0p8_b0p1_g0p7,0.872593,0.929907,1.000000,0.872593,0.927019,1.000000,0.891403,0.942006,1.000000,0.874074,0.928013,0.963722,0.874074,0.928013,0.966877,0.874074,0.917957,0.966877,0.880707,0.891403,0.931034,0.880707,0.891403,0.931034,0.880707,0.891403,0.931034
a0p8_b0p2_g0p3,0.978022,0.947950,0.891403,0.978022,0.951104,0.891403,1.000000,0.935737,0.891403,0.976489,0.943038,0.915123,0.976489,0.943038,0.912308,0.976489,0.960317,0.912308,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968
a0p8_b0p2_g0p5,0.915385,0.970921,0.942006,0.915385,0.974152,0.942006,0.935737,1.000000,0.942006,0.913978,0.985270,0.977419,0.913978,0.985270,0.974277,0.913978,0.964573,0.974277,0.920611,0.935737,0.988525,0.920611,0.935737,0.988525,0.920611,0.935737,0.988525
a0p8_b0p2_g0p7,0.872593,0.929907,1.000000,0.872593,0.927019,1.000000,0.891403,0.942006,1.000000,0.874074,0.928013,0.963722,0.874074,0.928013,0.966877,0.874074,0.917957,0.966877,0.880707,0.891403,0.931034,0.880707,0.891403,0.931034,0.880707,0.891403,0.931034
a1_b0p05_g0p3,0.998428,0.931783,0.874074,0.998428,0.934884,0.874074,0.976489,0.913978,0.874074,1.000000,0.926905,0.896970,1.000000,0.926905,0.894260,1.000000,0.943838,0.894260,0.975385,0.976489,0.923913,0.975385,0.976489,0.923913,0.975385,0.976489,0.923913
a1_b0p05_g0p5,0.928349,0.978793,0.928013,0.928349,0.982055,0.928013,0.943038,0.985270,0.928013,0.926905,1.000000,0.962963,0.926905,1.000000,0.959872,0.926905,0.978793,0.959872,0.915773,0.943038,0.996689,0.915773,0.943038,0.996689,0.915773,0.943038,0.996689
a1_b0p05_g0p7,0.895455,0.955343,0.963722,0.895455,0.952305,0.963722,0.915123,0.977419,0.963722,0.896970,0.962963,1.000000,0.896970,0.962963,0.996764,0.896970,0.942948,0.996764,0.903614,0.915123,0.966129,0.903614,0.915123,0.966129,0.903614,0.915123,0.966129
a1_b0p1_g0p3,0.998428,0.931783,0.874074,0.998428,0.934884,0.874074,0.976489,0.913978,0.874074,1.000000,0.926905,0.896970,1.000000,0.926905,0.894260,1.000000,0.943838,0.894260,0.975385,0.976489,0.923913,0.975385,0.976489,0.923913,0.975385,0.976489,0.923913
a1_b0p1_g0p5,0.928349,0.978793,0.928013,0.928349,0.982055,0.928013,0.943038,0.985270,0.928013,0.926905,1.000000,0.962963,0.926905,1.000000,0.959872,0.926905,0.978793,0.959872,0.915773,0.943038,0.996689,0.915773,0.943038,0.996689,0.915773,0.943038,0.996689
a1_b0p1_g0p7,0.892749,0.952305,0.966877,0.892749,0.949287,0.966877,0.912308,0.974277,0.966877,0.894260,0.959872,0.996764,0.894260,0.959872,1.000000,0.894260,0.939968,1.000000,0.900901,0.912308,0.963023,0.900901,0.912308,0.963023,0.900901,0.912308,0.963023
a1_b0p2_g0p3,0.998428,0.931783,0.874074,0.998428,0.934884,0.874074,0.976489,0.913978,0.874074,1.000000,0.926905,0.896970,1.000000,0.926905,0.894260,1.000000,0.943838,0.894260,0.975385,0.976489,0.923913,0.975385,0.976489,0.923913,0.975385,0.976489,0.923913
a1_b0p2_g0p5,0.945312,0.986971,0.917957,0.945312,0.990228,0.917957,0.960317,0.964573,0.917957,0.943838,0.978793,0.942948,0.943838,0.978793,0.939968,0.943838,1.000000,0.939968,0.932412,0.960317,0.975570,0.932412,0.960317,0.975570,0.932412,0.960317,0.975570
a1_b0p2_g0p7,0.892749,0.952305,0.966877,0.892749,0.949287,0.966877,0.912308,0.974277,0.966877,0.894260,0.959872,0.996764,0.894260,0.959872,1.000000,0.894260,0.939968,1.000000,0.900901,0.912308,0.963023,0.900901,0.912308,0.963023,0.900901,0.912308,0.963023
a1p2_b0p05_g0p3,0.973846,0.920611,0.880707,0.973846,0.923664,0.880707,0.958462,0.920611,0.880707,0.975385,0.915773,0.903614,0.975385,0.915773,0.900901,0.975385,0.932412,0.900901,1.000000,0.958462,0.912844,1.000000,0.958462,0.912844,1.000000,0.958462,0.912844
a1p2_b0p05_g0p5,0.978022,0.947950,0.891403,0.978022,0.951104,0.891403,1.000000,0.935737,0.891403,0.976489,0.943038,0.915123,0.976489,0.943038,0.912308,0.976489,0.960317,0.912308,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968
a1p2_b0p05_g0p7,0.925350,0.982026,0.931034,0.925350,0.985294,0.931034,0.939968,0.988525,0.931034,0.923913,0.996689,0.966129,0.923913,0.996689,0.963023,0.923913,0.975570,0.963023,0.912844,0.939968,1.000000,0.912844,0.939968,1.000000,0.912844,0.939968,1.000000
a1p2_b0p1_g0p3,0.973846,0.920611,0.880707,0.973846,0.923664,0.880707,0.958462,0.920611,0.880707,0.975385,0.915773,0.903614,0.975385,0.915773,0.900901,0.975385,0.932412,0.900901,1.000000,0.958462,0.912844,1.000000,0.958462,0.912844,1.000000,0.958462,0.912844
a1p2_b0p1_g0p5,0.978022,0.947950,0.891403,0.978022,0.951104,0.891403,1.000000,0.935737,0.891403,0.976489,0.943038,0.915123,0.976489,0.943038,0.912308,0.976489,0.960317,0.912308,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968
a1p2_b0p1_g0p7,0.925350,0.982026,0.931034,0.925350,0.985294,0.931034,0.939968,0.988525,0.931034,0.923913,0.996689,0.966129,0.923913,0.996689,0.963023,0.923913,0.975570,0.963023,0.912844,0.939968,1.000000,0.912844,0.939968,1.000000,0.912844,0.939968,1.000000
a1p2_b0p2_g0p3,0.973846,0.920611,0.880707,0.973846,0.923664,0.880707,0.958462,0.920611,0.880707,0.975385,0.915773,0.903614,0.975385,0.915773,0.900901,0.975385,0.932412,0.900901,1.000000,0.958462,0.912844,1.000000,0.958462,0.912844,1.000000,0.958462,0.912844
a1p2_b0p2_g0p5,0.978022,0.947950,0.891403,0.978022,0.951104,0.891403,1.000000,0.935737,0.891403,0.976489,0.943038,0.915123,0.976489,0.943038,0.912308,0.976489,0.960317,0.912308,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968,0.958462,1.000000,0.939968
a1p2_b0p2_g0p7,0.925350,0.982026,0.931034,0.925350,0.985294,0.931034,0.939968,0.988525,0.931034,0.923913,0.996689,0.966129,0.923913,0.996689,0.963023,0.923913,0.975570,0.963023,0.912844,0.939968,1.000000,0.912844,0.939968,1.000000,0.912844,0.939968,1.000000
