weight_label,a0p8_b0p05_g0p3,a0p8_b0p05_g0p5,a0p8_b0p05_g0p7,a0p8_b0p1_g0p3,a0p8_b0p1_g0p5,a0p8_b0p1_g0p7,a0p8_b0p2_g0p3,a0p8_b0p2_g0p5,a0p8_b0p2_g0p7,a1_b0p05_g0p3,a1_b0p05_g0p5,a1_b0p05_g0p7,a1_b0p1_g0p3,a1_b0p1_g0p5,a1_b0p1_g0p7,a1_b0p2_g0p3,a1_b0p2_g0p5,a1_b0p2_g0p7,a1p2_b0p05_g0p3,a1p2_b0p05_g0p5,a1p2_b0p05_g0p7,a1p2_b0p1_g0p3,a1p2_b0p1_g0p5,a1p2_b0p1_g0p7,a1p2_b0p2_g0p3,a1p2_b0p2_g0p5,a1p2_b0p2_g0p7
a0p8_b0p05_g0p3,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a0p8_b0p05_g0p5,0.984848,1.000000,0.950725,0.984848,1.000000,0.950725,0.984848,0.990991,0.950725,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000
a0p8_b0p05_g0p7,0.936232,0.950725,1.000000,0.936232,0.950725,1.000000,0.936232,0.959420,1.000000,0.936232,0.936232,0.959420,0.936232,0.936232,0.959420,0.936232,0.936232,0.959420,0.931429,0.936232,0.950725,0.931429,0.936232,0.950725,0.931429,0.936232,0.950725
a0p8_b0p1_g0p3,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a0p8_b0p1_g0p5,0.984848,1.000000,0.950725,0.984848,1.000000,0.950725,0.984848,0.990991,0.950725,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000
a0p8_b0p1_g0p7,0.936232,0.950725,1.000000,0.936232,0.950725,1.000000,0.936232,0.959420,1.000000,0.936232,0.936232,0.959420,0.936232,0.936232,0.959420,0.936232,0.936232,0.959420,0.931429,0.936232,0.950725,0.931429,0.936232,0.950725,0.931429,0.936232,0.950725
a0p8_b0p2_g0p3,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a0p8_b0p2_g0p5,0.975976,0.990991,0.959420,0.975976,0.990991,0.959420,0.975976,1.000000,0.959420,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991
a0p8_b0p2_g0p7,0.936232,0.950725,1.000000,0.936232,0.950725,1.000000,0.936232,0.959420,1.000000,0.936232,0.936232,0.959420,0.936232,0.936232,0.959420,0.936232,0.936232,0.959420,0.931429,0.936232,0.950725,0.931429,0.936232,0.950725,0.931429,0.936232,0.950725
a1_b0p05_g0p3,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1_b0p05_g0p5,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1_b0p05_g0p7,0.975976,0.990991,0.959420,0.975976,0.990991,0.959420,0.975976,1.000000,0.959420,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991
a1_b0p1_g0p3,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1_b0p1_g0p5,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1_b0p1_g0p7,0.975976,0.990991,0.959420,0.975976,0.990991,0.959420,0.975976,1.000000,0.959420,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991
a1_b0p2_g0p3,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1_b0p2_g0p5,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1_b0p2_g0p7,0.975976,0.990991,0.959420,0.975976,0.990991,0.959420,0.975976,1.000000,0.959420,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.975976,0.975976,1.000000,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991,0.947368,0.975976,0.990991
a1p2_b0p05_g0p3,0.970060,0.955752,0.931429,0.970060,0.955752,0.931429,0.970060,0.947368,0.931429,0.970060,0.970060,0.947368,0.970060,0.970060,0.947368,0.970060,0.970060,0.947368,1.000000,0.970060,0.955752,1.000000,0.970060,0.955752,1.000000,0.970060,0.955752
a1p2_b0p05_g0p5,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1p2_b0p05_g0p7,0.984848,1.000000,0.950725,0.984848,1.000000,0.950725,0.984848,0.990991,0.950725,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000
a1p2_b0p1_g0p3,0.970060,0.955752,0.931429,0.970060,0.955752,0.931429,0.970060,0.947368,0.931429,0.970060,0.970060,0.947368,0.970060,0.970060,0.947368,0.970060,0.970060,0.947368,1.000000,0.970060,0.955752,1.000000,0.970060,0.955752,1.000000,0.970060,0.955752
a1p2_b0p1_g0p5,1.000000,0.984848,0.936232,1.000000,0.984848,0.936232,1.000000,0.975976,0.936232,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,1.000000,1.000000,0.975976,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848,0.970060,1.000000,0.984848
a1p2_b0p1_g0p7,0.984848,1.000000,0.950725,0.984848,1.000000,0.950725,0.984848,0.990991,0.950725,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.984848,0.984848,0.990991,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000,0.955752,0.984848,1.000000
